ENSG00000290825	DDX11L2
ENSG00000243485	MIR1302-2HG
ENSG00000237613	FAM138A
ENSG00000290826	ENSG00000290826
ENSG00000186092	OR4F5
ENSG00000238009	ENSG00000238009
ENSG00000239945	ENSG00000239945
ENSG00000239906	ENSG00000239906
ENSG00000241860	ENSG00000241860
ENSG00000241599	ENSG00000241599
ENSG00000286448	ENSG00000286448
ENSG00000236601	ENSG00000236601
ENSG00000290385	ENSG00000290385
ENSG00000284733	OR4F29
ENSG00000235146	ENSG00000235146
ENSG00000284662	OR4F16
ENSG00000291215	ENSG00000291215
ENSG00000229905	ENSG00000229905
ENSG00000237491	LINC01409
ENSG00000290784	ENSG00000290784
ENSG00000177757	FAM87B
ENSG00000225880	LINC00115
ENSG00000228794	LINC01128
ENSG00000288531	ENSG00000288531
ENSG00000230368	FAM41C
ENSG00000272438	ENSG00000272438
ENSG00000230699	ENSG00000230699
ENSG00000241180	ENSG00000241180
ENSG00000223764	LINC02593
ENSG00000187634	SAMD11
ENSG00000188976	NOC2L
ENSG00000187961	KLHL17
ENSG00000187583	PLEKHN1
ENSG00000187642	PERM1
ENSG00000272512	ENSG00000272512
ENSG00000188290	HES4
ENSG00000187608	ISG15
ENSG00000224969	ENSG00000224969
ENSG00000188157	AGRN
ENSG00000242590	ENSG00000242590
ENSG00000291156	ENSG00000291156
ENSG00000273443	ENSG00000273443
ENSG00000237330	RNF223
ENSG00000131591	C1orf159
ENSG00000285812	ENSG00000285812
ENSG00000223823	LINC01342
ENSG00000272141	ENSG00000272141
ENSG00000205231	TTLL10-AS1
ENSG00000162571	TTLL10
ENSG00000186891	TNFRSF18
ENSG00000186827	TNFRSF4
ENSG00000078808	SDF4
ENSG00000176022	B3GALT6
ENSG00000184163	C1QTNF12
ENSG00000260179	ENSG00000260179
ENSG00000160087	UBE2J2
ENSG00000230415	LINC01786
ENSG00000162572	SCNN1D
ENSG00000131584	ACAP3
ENSG00000169972	PUSL1
ENSG00000127054	INTS11
ENSG00000240731	ENSG00000240731
ENSG00000224051	CPTP
ENSG00000169962	TAS1R3
ENSG00000107404	DVL1
ENSG00000162576	MXRA8
ENSG00000175756	AURKAIP1
ENSG00000221978	CCNL2
ENSG00000224870	MRPL20-AS1
ENSG00000242485	MRPL20
ENSG00000272455	MRPL20-DT
ENSG00000235098	ANKRD65
ENSG00000225905	ANKRD65-AS1
ENSG00000205116	TMEM88B
ENSG00000225285	LINC01770
ENSG00000179403	VWA1
ENSG00000215915	ATAD3C
ENSG00000160072	ATAD3B
ENSG00000290916	ENSG00000290916
ENSG00000197785	ATAD3A
ENSG00000205090	TMEM240
ENSG00000160075	SSU72
ENSG00000215014	ENSG00000215014
ENSG00000228594	FNDC10
ENSG00000286989	ENSG00000286989
ENSG00000272106	ENSG00000272106
ENSG00000197530	MIB2
ENSG00000189409	MMP23B
ENSG00000248333	CDK11B
ENSG00000272004	ENSG00000272004
ENSG00000189339	SLC35E2B
ENSG00000008128	CDK11A
ENSG00000290854	ENSG00000290854
ENSG00000008130	NADK
ENSG00000078369	GNB1
ENSG00000231050	GNB1-DT
ENSG00000169885	CALML6
ENSG00000178821	TMEM52
ENSG00000142609	CFAP74
ENSG00000233542	ENSG00000233542
ENSG00000187730	GABRD
ENSG00000226969	PRKCZ-DT
ENSG00000067606	PRKCZ
ENSG00000271806	ENSG00000271806
ENSG00000182873	PRKCZ-AS1
ENSG00000162585	FAAP20
ENSG00000234396	ENSG00000234396
ENSG00000157933	SKI
ENSG00000287356	ENSG00000287356
ENSG00000116151	MORN1
ENSG00000272161	ENSG00000272161
ENSG00000272420	ENSG00000272420
ENSG00000157916	RER1
ENSG00000157911	PEX10
ENSG00000149527	PLCH2
ENSG00000224387	ENSG00000224387
ENSG00000229393	ENSG00000229393
ENSG00000157881	PANK4
ENSG00000197921	HES5
ENSG00000272449	ENSG00000272449
ENSG00000238164	TNFRSF14-AS1
ENSG00000157873	TNFRSF14
ENSG00000228037	ENSG00000228037
ENSG00000289610	ENSG00000289610
ENSG00000157870	PRXL2B
ENSG00000142606	MMEL1
ENSG00000237058	MMEL1-AS1
ENSG00000215912	TTC34
ENSG00000285945	ENSG00000285945
ENSG00000283259	ENSG00000283259
ENSG00000233234	ENSG00000233234
ENSG00000287396	ENSG00000287396
ENSG00000231630	ENSG00000231630
ENSG00000284745	ENSG00000284745
ENSG00000169717	ACTRT2
ENSG00000177133	PRDM16-DT
ENSG00000142611	PRDM16
ENSG00000226286	ENSG00000226286
ENSG00000272235	ENSG00000272235
ENSG00000287828	ENSG00000287828
ENSG00000286518	ENSG00000286518
ENSG00000130762	ARHGEF16
ENSG00000272088	ENSG00000272088
ENSG00000162591	MEGF6
ENSG00000238260	ENSG00000238260
ENSG00000158109	TPRG1L
ENSG00000116213	WRAP73
ENSG00000078900	TP73
ENSG00000227589	TP73-AS3
ENSG00000235131	TP73-AS2
ENSG00000162592	CCDC27
ENSG00000235169	SMIM1
ENSG00000130764	LRRC47
ENSG00000272153	ENSG00000272153
ENSG00000116198	CEP104
ENSG00000169598	DFFB
ENSG00000198912	C1orf174
ENSG00000236423	LINC01134
ENSG00000233304	LINC01346
ENSG00000226374	LINC01345
ENSG00000284668	LINC02780
ENSG00000284703	ENSG00000284703
ENSG00000235054	LINC01777
ENSG00000284694	ENSG00000284694
ENSG00000227169	ENSG00000227169
ENSG00000232596	LINC01646
ENSG00000196581	AJAP1
ENSG00000287586	ENSG00000287586
ENSG00000284739	ENSG00000284739
ENSG00000284674	LINC02781
ENSG00000231510	LINC02782
ENSG00000284616	ENSG00000284616
ENSG00000284692	ENSG00000284692
ENSG00000284666	ENSG00000284666
ENSG00000260972	ENSG00000260972
ENSG00000236948	ENSG00000236948
ENSG00000289893	ENSG00000289893
ENSG00000131697	NPHP4
ENSG00000069424	KCNAB2
ENSG00000116254	CHD5
ENSG00000116251	RPL22
